Asset,Hyper,Lighter
AAPL,km:AAPL;xyz:AAPL,AAPL
AMD,xyz:AMD,AMD
AMZN,xyz:AMZN;cash:AMZN,AMZN
BRENTOIL,xyz:BRENTOIL,BRENTOIL
COIN,flx:COIN;xyz:COIN,COIN
COPPER,flx:COPPER;xyz:COPPER,XCU
CRCL,flx:CRCL;xyz:CRCL,CRCL
EURUSD,xyz:EUR,EURUSD
GOLD,flx:GOLD;km:GOLD;xyz:GOLD;cash:GOLD,XAU
GOOGL,km:GOOGL;xyz:GOOGL;cash:GOOGL,GOOGL
HOOD,xyz:HOOD;cash:HOOD,HOOD
HYUNDAI,xyz:HYUNDAI,HYUNDAI
INTC,xyz:INTC;cash:INTC,INTC
META,xyz:META;cash:META,META
MSFT,xyz:MSFT;cash:MSFT,MSFT
MSTR,xyz:MSTR,MSTR
NATGAS,xyz:NATGAS,NATGAS
NVDA,flx:NVDA;km:NVDA;xyz:NVDA;cash:NVDA,NVDA
PALLADIUM,flx:PALLADIUM;xyz:PALLADIUM,XPD
PLATINUM,flx:PLATINUM;xyz:PLATINUM,XPT
SAMSUNG,xyz:SMSN,SAMSUNG
SILVER,flx:SILVER;km:SILVER;xyz:SILVER;cash:SILVER,XAG
SKHYNIX,xyz:SKHX,SKHYNIX
SNDK,xyz:SNDK,SNDK
TSLA,flx:TSLA;km:TSLA;xyz:TSLA;cash:TSLA,TSLA
USDJPY,xyz:JPY,USDJPY
WTI,cash:WTI,WTI
