canonical_underlying,lighter_symbol,lighter_market_type,hyperliquid_symbols,hyperliquid_buckets,hyperliquid_sources
AAPL,AAPL,equity,km:AAPL;xyz:AAPL,stocks,perpCategories
AMD,AMD,equity,xyz:AMD,stocks,perpCategories
AMZN,AMZN,equity,xyz:AMZN;cash:AMZN,stocks,allPerpMetas;perpCategories
BRENTOIL,BRENTOIL,commodity,xyz:BRENTOIL,commodities,perpCategories
COIN,COIN,equity,flx:COIN;xyz:COIN,stocks,perpCategories
COPPER,XCU,commodity,flx:COPPER;xyz:COPPER,commodities,perpCategories
CRCL,CRCL,equity,flx:CRCL;xyz:CRCL,stocks,perpCategories
EURUSD,EURUSD,fx,xyz:EUR,fx,perpCategories
GOLD,XAU,commodity,flx:GOLD;km:GOLD;xyz:GOLD;cash:GOLD,commodities,allPerpMetas;perpCategories
GOOGL,GOOGL,equity,km:GOOGL;xyz:GOOGL;cash:GOOGL,stocks,allPerpMetas;perpCategories
HOOD,HOOD,equity,xyz:HOOD;cash:HOOD,stocks,allPerpMetas;perpCategories
HYUNDAI,HYUNDAI,equity,xyz:HYUNDAI,stocks,perpCategories
INTC,INTC,equity,xyz:INTC;cash:INTC,stocks,allPerpMetas;perpCategories
META,META,equity,xyz:META;cash:META,stocks,allPerpMetas;perpCategories
MSFT,MSFT,equity,xyz:MSFT;cash:MSFT,stocks,allPerpMetas;perpCategories
MSTR,MSTR,equity,xyz:MSTR,stocks,perpCategories
NATGAS,NATGAS,commodity,xyz:NATGAS,commodities,perpCategories
NVDA,NVDA,equity,flx:NVDA;km:NVDA;xyz:NVDA;cash:NVDA,stocks,allPerpMetas;perpCategories
PALLADIUM,XPD,commodity,flx:PALLADIUM;xyz:PALLADIUM,commodities,perpCategories
PLATINUM,XPT,commodity,flx:PLATINUM;xyz:PLATINUM,commodities,perpCategories
SAMSUNG,SAMSUNG,equity,xyz:SMSN,stocks,perpCategories
SILVER,XAG,commodity,flx:SILVER;km:SILVER;xyz:SILVER;cash:SILVER,commodities,allPerpMetas;perpCategories
SKHYNIX,SKHYNIX,equity,xyz:SKHX,stocks,perpCategories
SNDK,SNDK,equity,xyz:SNDK,stocks,perpCategories
TSLA,TSLA,equity,flx:TSLA;km:TSLA;xyz:TSLA;cash:TSLA,stocks,allPerpMetas;perpCategories
USDJPY,USDJPY,fx,xyz:JPY,fx,perpCategories
WTI,WTI,commodity,cash:WTI,commodities,allPerpMetas
