entry_gap_threshold,pricing,trades,pnl,win_rate,avg_hold_s,profitable_avg_hold_s
0.0,mid,4274,5724.541158185023,83.78568086102011,102.963734206832,113.83887182351299
0.0,bidask,4274,-6713.651472859569,12.330369677117455,102.963734206832,382.61100569259963
0.25,mid,3297,5772.8707848764625,99.15074309978769,133.117076129815,125.03793208932395
0.25,bidask,3297,-4790.398553267682,16.257203518350018,133.117076129815,378.46268656716416
0.5,mid,2876,5793.0780550386025,99.02642559109874,152.06189151599443,143.11130617977528
0.5,bidask,2876,-3671.405914967133,20.41029207232267,152.06189151599443,348.65076660988075
1.0,mid,2319,5796.0209627498625,98.8788270806382,186.96981457524794,179.91059747056258
1.0,bidask,2319,-2127.962568968682,27.382492453643813,186.96981457524794,395.74330708661415
2.0,mid,1488,5250.502199348486,98.58870967741935,281.065188172043,273.6100886162236
2.0,bidask,1488,-148.3970865516443,47.11021505376344,281.065188172043,373.0228245363766
3.0,mid,952,4495.254703874267,98.31932773109243,373.41806722689074,366.1399572649573
3.0,bidask,952,891.9179450950011,70.90336134453781,373.41806722689074,330.2711111111111
5.0,mid,408,2882.6860080313227,99.26470588235294,439.3651960784314,438.17530864197533
5.0,bidask,408,1173.331021630844,87.99019607843137,439.3651960784314,463.90529247910865
8.0,mid,101,1088.9505448613043,100.0,107.26732673267327,107.26732673267327
8.0,bidask,101,564.452839353629,92.07920792079209,107.26732673267327,102.97849462365592
