strategy,step_bps,max_layers,trades,gross_pnl_usd,avg_max_notional_usd,avg_layers,gross_pnl_per_trade_usd,gross_pnl_per_avg_notional_bps,roundtrip_break_even_fee_bps_per_leg,est_net_after_0.2bps_per_leg_usd,est_net_after_0.5bps_per_leg_usd,est_net_after_1.0bps_per_leg_usd
single_entry_mid,,1,4224,5717.8962433499055,10000.0,1.0,1.3536686182173072,1.3536686182173072,0.3384171545543268,2338.696243349905,-2730.1037566500945,-11178.103756650095
layer_step_0.5_max_3,0.5,3,4224,13605.63785591587,15492.424242424242,1.5492424242424243,3.2210316893740223,2.079101139351447,0.5197752848378617,8370.437855915869,517.6378559158693,-12570.36214408413
layer_step_0.5_max_5,0.5,5,4224,16403.065002383115,16669.034090909092,1.6669034090909092,3.883301373670245,2.3296499080220303,0.5824124770055076,10770.265002383116,2321.065002383115,-11760.934997616885
layer_step_0.5_max_10,0.5,10,4224,17034.64180163041,16872.632575757576,1.6872632575757576,4.03282239621932,2.390155998545027,0.5975389996362568,11333.041801630408,2780.6418016304087,-11473.358198369591
layer_step_1.0_max_3,1.0,3,4224,12474.641226233594,13861.26893939394,1.386126893939394,2.953276805453029,2.130596281167138,0.5326490702917845,7790.641226233594,764.6412262335944,-10945.358773766406
layer_step_1.0_max_5,1.0,5,4224,13667.565220568136,14258.996212121212,1.425899621212121,3.235692523808744,2.26922882626069,0.5673072065651725,8849.165220568135,1621.5652205681363,-10424.434779431864
layer_step_1.0_max_10,1.0,10,4224,13791.55127674356,14282.670454545454,1.4282670454545454,3.2650452833199712,2.2860187761882242,0.5715046940470561,8965.15127674356,1725.5512767435594,-10340.44872325644
layer_step_2.0_max_3,2.0,3,4224,10361.793407790392,12033.617424242424,1.2033617424242424,2.4530760908594678,2.038519261811999,0.5096298154529998,6295.393407790391,195.79340779039194,-9970.206592209608
layer_step_2.0_max_5,2.0,5,4224,10549.072796843197,12073.863636363636,1.2073863636363635,2.497413067434469,2.0684456464398426,0.5171114116099607,6469.072796843197,349.07279684319656,-9850.927203156803
layer_step_2.0_max_10,2.0,10,4224,10580.527622415684,12076.23106060606,1.207623106060606,2.504859759094622,2.0742065521301085,0.5185516380325271,6499.727622415684,378.52762241568416,-9823.472377584316
layer_step_3.0_max_3,3.0,3,4224,8837.4163372357,11105.587121212122,1.1105587121212122,2.092191367716785,1.8839088333480494,0.47097720833701234,5084.6163372357,-544.5836627643002,-9926.5836627643
layer_step_3.0_max_5,3.0,5,4224,8903.437024906492,11112.689393939394,1.1112689393939394,2.10782126536612,1.8967697113136968,0.4741924278284242,5148.237024906492,-484.5629750935077,-9872.562975093508
layer_step_3.0_max_10,3.0,10,4224,8903.437024906492,11112.689393939394,1.1112689393939394,2.10782126536612,1.8967697113136968,0.4741924278284242,5148.237024906492,-484.5629750935077,-9872.562975093508
